"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","natural log of unfished recruitment|lnr0","logr0","log(r0)","r0","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|mature biomass|spawners|effective spawning output","mass","weight"
"1","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/blue-warehou-rebuilding-strategy-2022.pdf",0.15,0,0.02,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0
"2","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr276.pdf",0.2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0.01
"3","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr294.pdf",0.13,0,0.02,0,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0
"4","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Gummy-assessment-report-Dec2020.pdf",0.03,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0.01
"5","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/King threadfin stock assessment 2020.pdf",0.09,0,0.09,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.03,0,0.01,0.01,0,0.01
"6","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Marine_Scalefish_Fishery_Assessment_Report_2020_-_FINAL_20200424.pdf",0.23,0,0.01,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
"7","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/puntae_x2006a.pdf",0.08,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.01,0,0.01,0.01,0.01
"8","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/stock-status-summary-2021-22-gemfish.pdf",0.17,0,0.02,0,0.02,0.01,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01
"9","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of black jewfish with data to December 2021.pdf",0.18,0,0.01,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.03,0.01,0.01,0.01,0,0.02
"10","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland east coast dusky flathead with data to December 2020.pdf",0.09,0,0.09,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0.02,0.03,0.04,0,0,0.01,0,0.01
"11","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland red emperor 2022.pdf",0.09,0,0.07,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.04,0,0,0.02,0,0.01
"12","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",0.17,0,0.08,0,0.01,0.05,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.04,0,0,0.01,0,0.01
"13","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessments for SESSF- 2019 - Part 2.pdf",0.15,0,0.01,0,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock Assessments for SESSF 2020–21 - Part 1.pdf",0.07,0,0.01,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0,0,0,0
"15","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",0.07,0,0.01,0,0.01,0,0,0,0.08,0,0,0,0,0,0,0.02,0,0,0,0.03,0.03,0,0.01,0,0.01
"16","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",0.08,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0.01,0,0,0,0.04,0.04,0,0.01,0,0.01
"17","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",0.06,0,0.01,0,0.01,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0.01,0,0.02
"18","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",0.05,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.01,0,0.01
"19","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",0.08,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0,0.03,0.03,0,0.01,0,0.01
"20","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",0.05,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0.01,0,0.02
"21","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",0.08,0,0,0,0.06,0,0,0,0.06,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01
"22","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",0.05,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0.02,0.02,0,0.01,0,0.01
"23","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",0.17,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.01,0,0,0.02,0,0
"24","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",0.06,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0,0.01
"25","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",0.11,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01
"26","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",0.08,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
"27","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
"28","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0.01,0,0
"29","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",0.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0.02,0.01,0,0,0,0.01
"30","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",0.06,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0.01
"31","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",0.19,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,0,0
"32","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",0.01,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0.01
"33","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",0.06,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0.01,0.01
"34","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAdeepflat.pdf",0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0.01,0,0
"35","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAskate (9).pdf",0.05,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/PIRKC.pdf",0.04,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01
"37","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/sablefish.pdf",0.05,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0.02,0,0.01
"38","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/SAFE_snow.pdf",0.06,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0.03,0,0.01
"39","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLD_GMGB_RPT.pdf",0.13,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"40","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLW_GM_RPT_Update_report_08_26_095440 (1).pdf",0.13,0,0,0.02,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"41","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_Herring_Unit_Report.pdf",0.09,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.05,0.08,0,0,0,0
"42","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKR_SNEMA_RPT.pdf",0.09,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"43","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKS_GM_RPT.pdf",0.14,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0
