"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","sex","gender","plus group"
"1","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BightRedfish2019.pdf",81,16,28,10,0,0,0,2,6,0,0,36,0,0,0,0,29,8,0,39,4,0,0,0,4,0,1,1,2,0,307,0,0,0,0,0,0,0,11,8,0,0,0,6,0,0,0,1,1,0
"2","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BlueGrenadier2021.pdf",89,5,40,6,0,0,0,3,11,0,0,32,0,0,0,0,41,10,0,22,11,0,0,0,11,3,0,0,1,0,412,0,0,0,0,0,0,9,15,0,0,0,0,0,0,1,0,9,1,1
"3","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/DeepwaterFlatheadPreliminary2019.pdf",82,24,23,6,0,0,0,1,6,0,0,22,0,0,0,0,31,9,0,14,5,1,0,0,4,0,1,1,3,0,257,0,0,0,0,0,0,0,12,2,0,0,0,6,0,0,1,1,0,1
"4","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Gummy-assessment-report-Dec2020.pdf",48,15,2,0,7,0,0,4,0,0,0,4,0,0,0,0,34,2,0,122,0,4,0,0,5,0,0,0,3,0,391,0,0,0,0,0,0,0,1,15,0,0,0,13,1,1,0,11,0,7
"5","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongE2021.pdf",159,35,40,56,0,0,0,8,0,1,1,286,1,0,0,0,153,16,0,76,35,0,0,0,16,3,2,2,5,0,954,0,0,0,0,0,0,1,59,12,0,0,1,2,0,0,4,1,0,0
"6","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongWest2018.pdf",84,26,20,14,0,0,0,4,1,0,0,41,0,0,0,0,78,9,0,30,24,2,0,0,11,0,1,1,4,0,453,0,0,0,0,0,0,0,18,19,0,0,0,3,0,0,0,1,1,0
"7","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Macquarie-Island-Patagonian-Toothfish-2019-Stock-Assessment-Report.pdf",121,33,72,28,0,0,0,22,0,0,2,68,5,3,0,0,122,9,0,3,1,0,0,0,0,0,0,0,2,13,879,0,1,0,0,0,0,1,28,14,0,0,0,0,0,0,5,11,40,1
"8","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Redfish2020.pdf",48,7,34,6,0,0,0,1,5,0,0,57,0,0,0,0,33,0,0,30,6,0,0,0,11,1,0,0,0,0,276,0,0,0,0,0,0,1,16,5,0,0,0,5,0,1,0,1,0,1
"9","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SchoolWhiting2020.pdf",144,5,70,48,0,0,0,11,0,0,0,168,1,0,0,0,177,12,0,156,8,0,0,0,4,1,4,2,2,0,726,0,0,0,0,0,0,0,55,36,0,0,0,4,0,0,1,2,1,0
"10","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SilverWarehouPreliminary2018.pdf",28,11,16,3,0,0,0,2,3,0,0,24,0,0,0,0,6,0,0,22,1,0,0,0,2,0,1,0,0,0,198,0,0,0,0,0,0,0,14,3,0,0,0,2,0,0,0,0,0,0
"11","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Stock assessment of the Joseph Bonaparte Gulf redleg banana prawn (Penaeus indicus) fishery to 2021.pdf",90,8,31,0,0,0,0,0,2,0,0,35,5,8,0,0,53,30,0,45,0,0,0,0,0,0,0,0,29,0,508,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0
"12","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/TigerFlathead2019.pdf",99,26,55,10,0,0,0,0,9,0,0,127,0,2,0,0,144,10,0,26,7,0,0,0,6,2,1,1,12,5,600,0,0,0,0,0,0,0,21,16,0,0,0,2,0,0,0,2,1,0
"13","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021-sardine-fishery-stock-assessment.pdf",289,22,142,4,0,1,0,6,0,0,2,50,5,0,0,2,136,27,0,12,0,1,0,0,1,0,0,0,0,31,1182,0,1,4,0,0,0,33,0,6,0,1,3,14,0,0,1,23,0,3
"14","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021 assessment of the status of the West Coast Demersal Scalefis.pdf",340,57,27,1,0,0,0,11,0,4,0,101,2,9,0,1,294,29,0,243,7,16,0,0,3,35,66,12,202,1,1560,0,5,7,0,0,35,0,1,1,0,0,1,29,1,0,6,13,0,2
"15","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/FINAL_RL-Stock-Assessment-Report-201718-final-150319-for-email.pdf",32,9,0,0,0,0,0,0,0,0,0,14,6,4,0,0,67,40,0,93,8,0,0,0,0,0,0,0,0,0,268,0,3,14,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
"16","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Fisheries Research Report 319_ Resource Assessment Report for Aus.pdf",189,35,34,3,0,1,0,5,0,0,0,162,5,18,0,0,316,41,0,27,35,2,0,0,14,0,72,30,141,9,1539,0,11,1,0,0,12,1,15,4,0,0,1,29,0,0,1,10,0,0
"17","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Harvestable_biomass_of_Katelysia_spp._in_the_South_Australian_Vongole_Fishery.pdf",244,7,0,0,0,0,0,0,0,0,0,20,1,0,0,0,20,21,0,0,0,0,0,0,0,0,0,0,52,3,384,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"18","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/nz-rock-lobster-2019-20-assessment.pdf",91,14,0,0,0,7,0,17,0,0,1,50,5,2,0,0,268,18,0,85,39,2,0,0,2,0,0,0,0,5,686,2,0,11,0,0,0,1,0,4,0,1,0,0,0,0,0,31,0,1
"19","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/RL_Stock_Assessment_2017-19_Final_June_2019.pdf",37,7,4,2,0,0,0,6,8,0,0,44,2,5,0,0,58,4,0,38,2,0,0,0,0,1,0,0,0,6,264,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0
"20","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/rr2016-0822_torres_strait_rock_lobster_final_report_2019_on_fishery_surveys_cpue_stock_assessment_and_harvest_control_rule_development.pdf",571,235,35,1,0,3,0,0,2,0,0,46,14,4,0,0,555,15,0,277,11,11,0,0,0,0,0,0,0,6,2254,0,0,0,0,0,0,11,0,4,0,4,0,1,0,0,3,35,0,0
"21","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Snapper_Chrysophrys_auratus_Fishery_Assessment.pdf",339,13,88,0,0,0,0,6,2,0,0,114,0,4,0,0,182,32,0,71,21,5,0,0,0,0,0,0,0,12,1330,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,1,10,0,2
