"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","sex","gender","plus group"
"1","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,0,1,0,0,0,0,0,0,0,0,0,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"2","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",351,39,66,3,1,0,0,4,0,0,1,58,9,1,0,0,151,32,2,42,0,0,0,0,6,2,1,0,7,27,1198,0,1,4,0,0,0,1,1,5,0,0,0,31,0,0,5,4,0,1
"3","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",67,17,0,0,0,1,0,0,0,0,0,5,0,0,0,0,84,10,0,1,1,1,0,0,1,0,0,0,2,6,488,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
"4","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",78,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,31,7,0,1,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",103,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,71,6,0,3,0,0,0,0,0,0,0,0,0,8,335,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"6","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"7","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",131,38,24,11,0,0,0,1,0,0,0,95,2,1,0,1,32,20,0,2,0,4,0,0,0,0,0,0,24,4,559,0,0,0,0,0,2,1,1,1,0,0,0,50,0,0,4,28,0,1
"8","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",209,39,26,20,0,0,0,0,0,0,0,65,3,0,0,0,101,33,1,18,0,0,0,0,0,0,0,0,5,10,720,2,0,3,0,0,0,0,23,0,0,0,2,18,0,0,1,0,0,1
"9","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"10","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",664,129,197,8,0,2,0,8,0,1,1,135,12,15,3,1,183,74,2,217,6,5,0,0,9,11,8,0,14,29,4007,0,0,46,0,0,2,1,3,0,0,0,82,54,0,0,12,0,0,0
