"ID","Region","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|mature biomass|spawners|effective spawning output","unfished|virgin|initial equilibrium|unfished equilibrium","recruitment","recruits|recruit|age 0 fish|age 1 fish","catch|harvest|total removals","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawner per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition|length frequency|length observation|size frequency|size composition","age composition|age frequency|age observation","projection","sex|gender","plus group"
"1","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",249,2,0,0,0,40,1,0,0,0,1,414,0,0,0,2,9,0,0
"2","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",3107,73,5,58,77,299,46,8,1,7,27,4540,0,1,6,43,5,6,1
"3","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",1096,1,0,5,5,118,11,1,0,2,6,1615,0,0,4,0,0,3,0
"4","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",532,1,0,6,6,42,1,0,0,0,0,850,0,0,1,0,0,0,0
"5","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",1104,12,0,5,5,95,4,0,0,0,8,1595,0,0,3,0,0,0,0
"6","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",128,3,0,0,0,23,0,0,0,0,0,168,0,0,0,1,8,0,0
"7","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",1488,32,1,95,120,118,6,0,0,24,4,2074,2,1,3,65,4,41,1
"8","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",2288,54,0,65,74,177,34,0,0,5,10,3047,0,0,34,27,1,0,1
"9","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",152,1,0,0,0,28,0,0,0,0,0,170,0,0,0,0,4,0,0
"10","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",10350,215,10,135,183,499,237,20,8,14,29,14839,2,1,85,61,12,2,0
"11","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",3362,91,3,89,135,311,35,11,7,23,24,4802,3,21,9,37,9,11,0
"12","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAdeepflat.pdf",1381,32,4,43,57,149,5,0,5,5,8,2710,0,0,25,12,3,17,0
"13","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAskate (9).pdf",1104,1,0,6,7,94,12,0,0,0,1,1830,0,0,17,0,0,0,0
"14","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/PIRKC.pdf",1056,2,1,21,25,56,1,8,1,10,10,1245,0,1,19,0,0,24,0
"15","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/sablefish.pdf",6892,236,7,257,309,490,156,18,1,9,27,10617,0,0,49,84,23,20,4
"16","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/SAFE_snow.pdf",2413,21,5,32,48,123,4,30,0,14,5,2270,3,2,75,0,0,35,0
"17","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLD_GMGB_RPT.pdf",87,2,0,1,1,17,0,3,0,6,0,213,2,0,0,0,0,0,0
"18","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLW_GM_RPT_Update_report_08_26_095440 (1).pdf",77,2,0,1,2,17,0,5,0,1,0,269,0,0,0,0,0,0,0
"19","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_Herring_Unit_Report.pdf",95,14,0,12,16,18,0,0,0,1,0,227,0,0,0,0,6,0,0
"20","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKR_SNEMA_RPT.pdf",97,3,0,1,1,13,0,4,0,5,0,200,4,0,0,0,0,0,0
"21","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKS_GM_RPT.pdf",71,2,0,2,2,13,0,2,0,1,0,205,0,0,0,0,0,0,0
"22","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_scallop_unit_maindoc_rev.pdf",105,8,0,5,11,2,0,3,0,12,0,149,6,0,1,0,0,0,0
"23","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_COD_GB_REPORT_ver3.pdf",116,4,0,1,1,19,0,0,0,1,0,151,0,0,0,0,0,0,0
"24","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_scup_MTA_report.pdf",215,50,1,17,24,36,4,15,0,24,0,390,8,0,0,0,3,0,0
"25","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_summer_flounder_MTA_report.pdf",220,59,2,21,32,27,0,14,0,24,0,400,7,0,0,1,5,3,0
"26","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/4d_SkateAssessmentUpdate_July_2020.pdf",234,0,0,0,0,14,1,1,0,9,0,416,1,0,0,0,0,0,0
"27","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Bluefish_2021_Assesssment_Update_v4.pdf",157,40,1,17,19,23,0,12,0,16,0,291,6,0,0,0,2,0,0
