"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","sex","gender","plus group"
"1","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BightRedfish2019.pdf",0.13,0.03,0.04,0.02,0,0,0,0,0.01,0,0,0.06,0,0,0,0,0.05,0.01,0,0.06,0.01,0,0,0,0.01,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0.01,0,0,0,0,0,0
"2","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BlueGrenadier2021.pdf",0.11,0.01,0.05,0.01,0,0,0,0,0.01,0,0,0.04,0,0,0,0,0.05,0.01,0,0.03,0.01,0,0,0,0.01,0,0,0,0,0,0.52,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0.01,0,0
"3","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/DeepwaterFlatheadPreliminary2019.pdf",0.15,0.04,0.04,0.01,0,0,0,0,0.01,0,0,0.04,0,0,0,0,0.06,0.02,0,0.03,0.01,0,0,0,0.01,0,0,0,0.01,0,0.48,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0
"4","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Gummy-assessment-report-Dec2020.pdf",0.04,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0.01,0,0.01
"5","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongE2021.pdf",0.08,0.02,0.02,0.03,0,0,0,0,0,0,0,0.14,0,0,0,0,0.07,0.01,0,0.04,0.02,0,0,0,0.01,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0
"6","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongWest2018.pdf",0.1,0.03,0.02,0.02,0,0,0,0,0,0,0,0.05,0,0,0,0,0.09,0.01,0,0.03,0.03,0,0,0,0.01,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0
"7","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Macquarie-Island-Patagonian-Toothfish-2019-Stock-Assessment-Report.pdf",0.07,0.02,0.04,0.02,0,0,0,0.01,0,0,0,0.04,0,0,0,0,0.08,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.54,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0.01,0.02,0
"8","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Redfish2020.pdf",0.09,0.01,0.06,0.01,0,0,0,0,0.01,0,0,0.1,0,0,0,0,0.06,0,0,0.05,0.01,0,0,0,0.02,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0.01,0,0,0,0,0,0
"9","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SchoolWhiting2020.pdf",0.07,0,0.04,0.02,0,0,0,0.01,0,0,0,0.09,0,0,0,0,0.09,0.01,0,0.08,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0
"10","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SilverWarehouPreliminary2018.pdf",0.08,0.03,0.05,0.01,0,0,0,0.01,0.01,0,0,0.07,0,0,0,0,0.02,0,0,0.06,0,0,0,0,0.01,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0.01,0,0,0,0,0,0
