"ID","Region","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|mature biomass|spawners|effective spawning output","unfished|virgin|initial equilibrium|unfished equilibrium","recruitment","recruits|recruit|age 0 fish|age 1 fish","catch|harvest|total removals","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawner per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition|length frequency|length observation|size frequency|size composition","age composition|age frequency|age observation","projection","sex|gender","plus group"
"1","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BightRedfish2019.pdf",1.36,0.12,0.01,0.06,0.07,0.09,0.07,0.01,0,0,0,2.13,0,0,0.04,0.01,0,0,0
"2","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BlueGrenadier2021.pdf",1.19,0.07,0.02,0.04,0.05,0.09,0.05,0.02,0,0,0,1.81,0,0.01,0.02,0,0,0.01,0
"3","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/DeepwaterFlatheadPreliminary2019.pdf",1.2,0.08,0.01,0.04,0.05,0.11,0.04,0.01,0,0.01,0,2.09,0,0,0.03,0.02,0,0,0
"4","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Gummy-assessment-report-Dec2020.pdf",0.98,0.01,0,0,0,0.08,0.1,0,0,0,0,1.44,0,0,0.01,0.02,0,0.01,0.01
"5","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongE2021.pdf",1.06,0.06,0,0.14,0.15,0.14,0.06,0.01,0,0,0,1.91,0,0,0.04,0,0,0,0
"6","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongWest2018.pdf",1.08,0.06,0.01,0.05,0.06,0.14,0.07,0.01,0,0,0,1.89,0,0,0.05,0.01,0,0,0
"7","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Macquarie-Island-Patagonian-Toothfish-2019-Stock-Assessment-Report.pdf",0.91,0.05,0.01,0.04,0.06,0.1,0.01,0,0,0,0.01,1.79,0,0,0.03,0,0,0.04,0
"8","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Redfish2020.pdf",1.23,0.09,0.01,0.1,0.11,0.09,0.08,0.02,0,0,0,2.26,0,0,0.04,0.01,0,0,0
"9","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SchoolWhiting2020.pdf",1.05,0.08,0.01,0.09,0.09,0.15,0.09,0,0,0,0,2.14,0,0,0.05,0.01,0,0,0
"10","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SilverWarehouPreliminary2018.pdf",1.04,0.06,0.01,0.07,0.08,0.04,0.07,0.01,0,0,0,1.99,0,0,0.05,0.01,0,0,0
