"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","sex","gender","plus group"
"1","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",0.12,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0
"2","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",0.14,0.02,0.03,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.06,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
"3","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",0.09,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.63,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
"4","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",0.2,0.04,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.08,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",0.14,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.46,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",0.15,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
"7","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",0.12,0.03,0.02,0.01,0,0,0,0,0,0,0,0.08,0,0,0,0,0.03,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.02,0,0
"8","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",0.12,0.02,0.01,0.01,0,0,0,0,0,0,0,0.04,0,0,0,0,0.06,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.41,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0
"9","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",0.24,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0
"10","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",0.05,0.01,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
