"ID","Source","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning stock output|sso|mature biomass|spawners","unfished|virgin|initial|equilibrium|unfished equilibrium","recruitment","recruits|recruit|age-0 fish|age-1 fish","catch|total mortality|harvest","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawning per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality rate|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","weight|mass","length composition|length frequency|length observation","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"1","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/blue-warehou-rebuilding-strategy-2022.pdf",711,10,5,4,6,129,31,2,2,3,0,1214,0,16,0,1,0,2,0,0
"2","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr276.pdf",2720,37,15,95,143,542,65,0,100,0,62,4451,0,51,21,42,0,100,0,0
"3","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr294.pdf",3139,30,63,37,57,569,135,14,0,21,185,6161,0,185,0,7,55,35,5,0
"4","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Gummy-assessment-report-Dec2020.pdf",1207,12,9,4,5,97,126,5,0,3,0,1780,0,50,16,20,10,12,0,7
"5","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/King threadfin stock assessment 2020.pdf",1666,105,53,35,52,354,121,6,5,12,3,3765,0,127,25,9,5,9,17,1
"6","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Marine_Scalefish_Fishery_Assessment_Report_2020_-_FINAL_20200424.pdf",3471,53,4,67,74,1139,341,2,0,0,5,9234,0,72,1,2,0,11,0,0
"7","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/puntae_x2006a.pdf",1279,87,11,40,52,266,21,4,2,6,3,2063,1,114,2,0,6,5,1,0
"8","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/stock-status-summary-2021-22-gemfish.pdf",289,7,4,6,9,93,14,9,3,0,0,645,0,21,3,2,3,6,1,0
"9","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of black jewfish with data to December 2021.pdf",1332,74,55,10,21,231,45,16,0,20,0,2475,8,131,10,4,4,0,12,0
"10","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland east coast dusky flathead with data to December 2020.pdf",1071,85,46,23,27,245,57,19,0,18,1,2560,2,130,27,0,4,64,9,0
"11","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland red emperor 2022.pdf",1575,161,100,21,24,372,95,34,0,22,0,4852,0,175,16,5,2,25,4,0
"12","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",1101,52,36,30,35,249,109,1,0,5,3,1763,0,77,0,0,13,0,8,0
"13","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessments for SESSF- 2019 - Part 2.pdf",5919,21,35,0,0,1638,1536,4,0,0,1,12834,0,43,0,0,1,0,0,0
"14","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock Assessments for SESSF 2020–21 - Part 1.pdf",8327,512,235,768,846,992,378,48,17,6,3,15600,0,682,170,51,121,24,20,72
"15","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",18719,814,27,514,647,2179,153,1543,36,820,37,26921,428,919,54,54,593,57,1,21
"16","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",4945,277,10,176,221,453,13,402,0,136,14,7439,36,299,3,29,119,0,0,12
"17","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",6066,173,15,78,82,546,80,88,0,23,38,8095,15,212,52,14,42,18,11,1
"18","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",8102,298,55,120,169,529,16,126,58,409,45,10875,215,310,3,19,73,23,7,20
"19","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",2111,85,9,37,44,310,6,80,0,48,10,3594,32,143,2,12,24,0,1,5
"20","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",12799,239,33,132,166,683,51,3373,1,388,6,19156,206,638,4,76,56,117,6,19
"21","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",4958,34,77,13,14,580,266,254,0,311,37,7983,133,202,15,1,79,16,0,1
"22","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",1127,29,0,43,47,143,7,5,1,3,8,1712,1,39,1,2,29,0,0,1
"23","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",249,5,0,0,0,40,1,0,0,0,1,414,0,18,0,2,11,0,0,0
