"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","weight","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","forecast","prediction","sex","gender","natural log of unfished recruitment|lnr0","logr0","logr_0","log(r0)","r0","plus group"
"1","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/blue-warehou-rebuilding-strategy-2022.pdf",18,23,6,0,0,0,0,0,0,5,0,0,0,4,0,1,0,0,83,0,14,0,14,0,12,0,0,2,0,1,2,3,0,409,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"2","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr276.pdf",137,14,4,7,0,0,0,0,0,8,0,0,0,95,0,12,0,0,435,18,1,0,1,6,6,0,0,0,0,87,100,0,62,1597,0,0,0,0,0,0,0,12,16,4,0,0,1,38,3,0,0,0,0,38,0,0,0,0,0,0,0
"3","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr294.pdf",313,31,5,0,0,0,13,1,0,29,11,0,0,37,3,10,0,0,337,1,53,0,39,28,7,0,0,12,2,0,0,21,185,2089,0,0,6,0,0,0,0,12,0,0,0,0,44,7,0,0,15,0,0,26,0,0,0,0,0,2,0
"4","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Gummy-assessment-report-Dec2020.pdf",48,15,2,0,0,0,7,0,0,4,0,0,0,4,0,0,0,0,34,0,2,0,122,0,4,0,0,5,0,0,0,3,0,391,0,0,0,0,0,0,0,10,1,15,0,0,0,13,1,1,0,0,0,11,0,0,0,0,0,0,7
"5","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/King threadfin stock assessment 2020.pdf",132,30,40,0,14,0,0,0,0,33,1,0,0,35,15,1,0,0,148,0,138,0,7,59,0,0,0,5,1,5,5,12,3,1066,1,0,0,0,0,0,0,18,4,0,0,0,0,9,0,0,1,1,0,5,0,6,0,0,0,11,1
"6","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Marine_Scalefish_Fishery_Assessment_Report_2020_-_FINAL_20200424.pdf",412,16,8,0,0,0,0,2,0,0,0,0,0,67,1,1,0,0,861,0,30,0,216,46,0,0,0,2,0,0,0,0,5,2845,0,0,3,0,0,0,0,11,0,1,0,1,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0
"7","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/puntae_x2006a.pdf",151,26,72,10,0,0,0,0,0,5,2,0,0,40,0,0,0,0,82,0,0,0,12,2,3,0,0,3,1,0,2,6,3,602,0,0,8,0,0,1,9,7,0,2,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,0
"8","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/stock-status-summary-2021-22-gemfish.pdf",24,5,6,1,0,0,0,0,0,4,0,0,0,6,0,0,0,0,50,0,7,1,6,2,0,0,0,7,2,1,3,0,0,185,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"9","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of black jewfish with data to December 2021.pdf",100,12,36,13,6,0,0,0,0,30,0,0,0,10,5,0,0,0,202,0,10,0,0,6,1,0,0,1,15,0,0,20,0,571,0,0,0,0,0,8,0,25,2,0,0,0,0,3,0,0,1,0,0,0,0,10,0,0,0,2,0
"10","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland east coast dusky flathead with data to December 2020.pdf",122,10,47,2,5,0,0,0,0,32,1,0,1,23,0,0,0,0,120,0,120,0,0,15,0,0,0,0,19,0,0,18,1,672,0,0,0,0,0,2,4,11,8,6,0,0,0,0,0,0,0,1,2,20,42,9,0,0,0,0,0
"11","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland red emperor 2022.pdf",179,22,96,8,5,0,0,0,0,36,4,0,0,21,2,0,0,0,196,1,169,0,0,35,4,0,0,0,34,0,0,22,0,1474,0,0,0,0,0,0,1,25,3,1,0,1,0,4,0,0,0,1,0,11,0,4,0,0,0,0,0
"12","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",91,15,35,1,0,0,0,0,0,16,11,0,0,30,2,0,0,0,160,0,73,0,11,46,2,0,0,1,0,0,0,5,3,552,0,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0
"13","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessments for SESSF- 2019 - Part 2.pdf",171,45,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1044,0,36,9,1103,117,1,0,0,4,0,0,0,0,1,4421,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"14","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock Assessments for SESSF 2020–21 - Part 1.pdf",671,103,283,124,0,0,0,0,0,77,21,1,5,768,9,2,0,0,522,2,93,8,281,53,2,0,0,34,14,12,17,6,3,4334,0,0,0,0,0,0,21,34,114,24,0,0,1,38,0,5,8,8,0,13,1,10,0,0,0,9,72
"Sum",NA,NA,2569,367,646,166,30,0,20,3,0,287,51,1,6,1140,37,27,0,0,4274,22,746,18,1812,415,42,0,0,76,88,106,129,116,266,21208,1,2,17,0,0,11,36,182,149,53,0,2,47,115,4,6,29,11,3,132,43,39,0,0,0,33,80
