"ID","Region","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning output|spawning stock output|sso|mature biomass|spawners|effective spawning output","unfished|virgin|initial equilibrium|unfished equilibrium","recruitment","recruits|recruit|age 0 fish|age 1 fish","catch|total mortality|harvest|total removals","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawner per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","mass|weight","length composition|length frequency|length observation|size frequency|size composition","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"1","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/blue-warehou-rebuilding-strategy-2022.pdf",711,10,5,4,6,133,31,2,2,3,0,1214,0,2,0,1,0,2,0,0
"2","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr276.pdf",2720,37,8,95,143,543,65,0,100,0,62,4451,0,12,22,42,0,100,0,0
"3","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr294.pdf",3139,30,40,37,57,573,135,14,0,21,185,6161,0,12,44,7,55,35,5,0
"4","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Gummy-assessment-report-Dec2020.pdf",1207,12,4,4,5,98,126,5,0,3,0,1780,0,10,18,20,10,12,0,7
"5","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/King threadfin stock assessment 2020.pdf",1666,119,34,35,52,380,121,6,5,12,3,3765,0,18,25,9,5,9,17,1
"6","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Marine_Scalefish_Fishery_Assessment_Report_2020_-_FINAL_20200424.pdf",3471,53,0,67,74,1167,341,2,0,0,5,9234,0,11,3,2,0,11,0,0
"7","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/puntae_x2006a.pdf",1279,87,7,40,52,267,21,4,2,6,3,2063,1,17,2,0,6,5,1,0
"8","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/stock-status-summary-2021-22-gemfish.pdf",289,7,4,6,9,95,14,9,3,0,0,645,0,3,3,2,3,6,1,0
"9","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of black jewfish with data to December 2021.pdf",1332,80,31,10,21,231,45,16,0,20,0,2475,8,25,10,4,4,0,12,0
"10","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland east coast dusky flathead with data to December 2020.pdf",1071,90,33,23,27,284,57,19,0,18,1,2560,2,16,27,0,4,64,9,0
"11","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland red emperor 2022.pdf",1575,166,40,21,24,385,95,34,0,22,0,4852,0,27,17,5,2,25,4,0
"12","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",1101,52,27,30,35,255,109,1,0,5,3,1763,0,15,0,0,13,0,8,0
"13","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessments for SESSF- 2019 - Part 2.pdf",5919,21,8,0,0,1648,1536,4,0,0,1,12834,0,1,0,0,1,0,0,0
"14","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock Assessments for SESSF 2020–21 - Part 1.pdf",8327,512,99,768,846,1001,378,48,17,6,3,15600,0,82,171,51,121,24,20,72
"Sum",NA,NA,33807,1276,340,1140,1351,7060,3074,164,129,116,266,69397,11,251,342,143,224,293,77,80
