"ID","Region","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning output|spawning stock output|sso|mature biomass|spawners|effective spawning output","unfished|virgin|initial equilibrium|unfished equilibrium","recruitment","recruits|recruit|age 0 fish|age 1 fish","catch|total mortality|harvest|total removals","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawner per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","mass|weight","length composition|length frequency|length observation|size frequency|size composition","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"1","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",249,5,0,0,0,40,1,0,0,0,1,414,0,0,0,2,11,0,0,0
"2","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",3107,98,5,58,77,301,46,8,1,7,27,4540,0,42,6,43,26,6,2,1
"3","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",1096,11,0,5,5,119,11,1,0,2,6,1615,0,9,4,0,1,3,0,0
"4","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",532,6,0,6,6,42,1,0,0,0,0,850,0,1,1,0,0,0,0,0
"5","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",1104,21,0,5,5,95,4,0,0,0,8,1595,0,1,3,0,1,0,0,0
"6","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",128,4,0,0,0,23,0,0,0,0,0,168,0,0,0,1,9,0,0,0
"7","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",1488,36,1,95,120,120,6,0,0,24,4,2074,2,14,3,65,35,41,0,1
"8","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",2288,62,0,65,74,179,34,0,0,5,10,3047,0,22,34,27,12,0,1,1
"9","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",152,1,0,0,0,28,0,0,0,0,0,170,0,0,0,0,4,0,0,0
"10","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",10350,340,10,135,183,501,237,20,8,14,29,14839,2,112,85,61,33,2,0,0
"11","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",3362,112,3,89,135,312,35,11,7,23,24,4802,3,58,9,37,46,11,5,0
