"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","weight","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","forecast","prediction","sex","gender","natural log of unfished recruitment|lnr0","logr0","logr_0","log(r0)","r0","plus group"
"1","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/blue-warehou-rebuilding-strategy-2022.pdf",0.03,0.04,0.01,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.15,0,0.02,0,0.02,0,0.02,0,0,0,0,0,0,0.01,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr276.pdf",0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.01,0,0,0.2,0.01,0,0,0,0,0,0,0,0,0,0.04,0.05,0,0.03,0.74,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0
"3","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr294.pdf",0.12,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0.13,0,0.02,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0.07,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0
"4","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Gummy-assessment-report-Dec2020.pdf",0.04,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01
"5","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/King threadfin stock assessment 2020.pdf",0.08,0.02,0.03,0,0.01,0,0,0,0,0.02,0,0,0,0.02,0.01,0,0,0,0.09,0,0.09,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0.67,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"6","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Marine_Scalefish_Fishery_Assessment_Report_2020_-_FINAL_20200424.pdf",0.11,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.23,0,0.01,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/puntae_x2006a.pdf",0.14,0.02,0.07,0.01,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.08,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.57,0,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/stock-status-summary-2021-22-gemfish.pdf",0.08,0.02,0.02,0,0,0,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0.17,0,0.02,0,0.02,0.01,0,0,0,0.02,0.01,0,0.01,0,0,0.64,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of black jewfish with data to December 2021.pdf",0.09,0.01,0.03,0.01,0.01,0,0,0,0,0.03,0,0,0,0.01,0,0,0,0,0.18,0,0.01,0,0,0.01,0,0,0,0,0.01,0,0,0.02,0,0.5,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
"10","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland east coast dusky flathead with data to December 2020.pdf",0.09,0.01,0.04,0,0,0,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0.09,0,0.09,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0.51,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.01,0,0,0,0,0
