"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|mature biomass|spawners|effective spawning output","mass","weight"
"1","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BightRedfish2019.pdf",29,0,8,0,39,4,0,0,4,0,0,0,0,1,1,28,10,0,1,0,2
"2","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BlueGrenadier2021.pdf",41,0,10,0,22,11,0,0,11,3,0,0,0,9,1,40,6,0,2,9,16
"3","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/DeepwaterFlatheadPreliminary2019.pdf",31,0,9,0,14,5,1,0,4,0,1,0,0,1,0,23,6,0,1,0,0
"4","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Gummy-assessment-report-Dec2020.pdf",34,0,2,0,122,0,4,0,5,0,0,0,0,11,0,2,0,0,10,0,10
"5","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongE2021.pdf",153,2,16,0,76,35,0,0,16,3,4,2,0,1,0,40,56,0,6,1,5
"6","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongWest2018.pdf",78,2,9,0,30,24,2,0,11,0,0,0,0,1,1,20,14,0,3,0,5
"7","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Macquarie-Island-Patagonian-Toothfish-2019-Stock-Assessment-Report.pdf",122,0,9,0,3,1,0,0,0,0,5,0,1,11,40,72,28,0,39,1,10
"8","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Redfish2020.pdf",33,0,0,0,30,6,0,0,11,1,0,0,0,1,0,34,6,0,2,1,2
"9","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SchoolWhiting2020.pdf",177,1,12,0,156,8,0,0,4,1,1,0,0,2,1,70,48,0,4,0,4
"10","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SilverWarehouPreliminary2018.pdf",6,0,0,0,22,1,0,0,2,0,0,0,0,0,0,16,3,0,0,0,0
"11","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Stock assessment of the Joseph Bonaparte Gulf redleg banana prawn (Penaeus indicus) fishery to 2021.pdf",53,0,30,0,45,0,0,0,0,0,0,0,4,0,0,31,0,0,9,8,2
"12","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/TigerFlathead2019.pdf",144,0,10,0,26,7,0,0,6,2,0,0,0,2,1,55,10,0,2,0,2
"13","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021-sardine-fishery-stock-assessment.pdf",136,0,27,0,12,0,1,0,1,0,1,0,0,23,0,142,4,0,12,33,46
"14","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021 assessment of the status of the West Coast Demersal Scalefis.pdf",294,5,29,0,243,7,16,0,3,35,6,0,0,13,0,27,1,0,66,0,42
"15","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/FINAL_RL-Stock-Assessment-Report-201718-final-150319-for-email.pdf",67,0,40,0,93,8,0,0,0,0,0,0,0,2,0,0,0,0,4,2,13
"16","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Fisheries Research Report 319_ Resource Assessment Report for Aus.pdf",316,2,41,0,27,35,2,0,14,0,1,0,2,10,0,34,3,0,35,1,11
"17","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Harvestable_biomass_of_Katelysia_spp._in_the_South_Australian_Vongole_Fishery.pdf",20,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,11
"18","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/nz-rock-lobster-2019-20-assessment.pdf",268,1,18,0,85,39,2,0,2,0,0,0,1,31,0,0,0,0,8,1,55
"19","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/RL_Stock_Assessment_2017-19_Final_June_2019.pdf",58,0,4,0,38,2,0,0,0,1,1,0,0,1,0,4,2,0,3,1,2
"20","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/rr2016-0822_torres_strait_rock_lobster_final_report_2019_on_fishery_surveys_cpue_stock_assessment_and_harvest_control_rule_development.pdf",555,0,15,0,277,11,11,0,0,0,3,3,12,35,0,35,1,0,165,11,28
