"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|mature biomass|spawners|effective spawning output","mass","weight"
"1","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BightRedfish2019.pdf",1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1
"2","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BlueGrenadier2021.pdf",1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1
"3","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/DeepwaterFlatheadPreliminary2019.pdf",1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0
"4","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Gummy-assessment-report-Dec2020.pdf",1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1
"5","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongE2021.pdf",1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1
"6","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongWest2018.pdf",1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1
"7","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Macquarie-Island-Patagonian-Toothfish-2019-Stock-Assessment-Report.pdf",1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1
"8","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Redfish2020.pdf",1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1
"9","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SchoolWhiting2020.pdf",1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1
"10","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SilverWarehouPreliminary2018.pdf",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
"11","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Stock assessment of the Joseph Bonaparte Gulf redleg banana prawn (Penaeus indicus) fishery to 2021.pdf",1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
"12","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/TigerFlathead2019.pdf",1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1
