"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|mature biomass|spawners|effective spawning output","mass","weight"
"1","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BightRedfish2019.pdf",0.05,0,0.01,0,0.06,0.01,0,0,0.01,0,0,0,0,0,0,0.04,0.02,0,0,0,0
"2","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/BlueGrenadier2021.pdf",0.05,0,0.01,0,0.03,0.01,0,0,0.01,0,0,0,0,0.01,0,0.05,0.01,0,0,0.01,0.02
"3","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/DeepwaterFlatheadPreliminary2019.pdf",0.06,0,0.02,0,0.03,0.01,0,0,0.01,0,0,0,0,0,0,0.04,0.01,0,0,0,0
"4","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Gummy-assessment-report-Dec2020.pdf",0.03,0,0,0,0.1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0.01
"5","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongE2021.pdf",0.07,0,0.01,0,0.04,0.02,0,0,0.01,0,0,0,0,0,0,0.02,0.03,0,0,0,0
"6","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/JackassMorwongWest2018.pdf",0.09,0,0.01,0,0.03,0.03,0,0,0.01,0,0,0,0,0,0,0.02,0.02,0,0,0,0.01
"7","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Macquarie-Island-Patagonian-Toothfish-2019-Stock-Assessment-Report.pdf",0.08,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.04,0.02,0,0.02,0,0.01
"8","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Redfish2020.pdf",0.06,0,0,0,0.05,0.01,0,0,0.02,0,0,0,0,0,0,0.06,0.01,0,0,0,0
"9","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SchoolWhiting2020.pdf",0.09,0,0.01,0,0.08,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0,0,0,0
"10","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/SilverWarehouPreliminary2018.pdf",0.02,0,0,0,0.06,0,0,0,0.01,0,0,0,0,0,0,0.05,0.01,0,0,0,0
"11","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/Stock assessment of the Joseph Bonaparte Gulf redleg banana prawn (Penaeus indicus) fishery to 2021.pdf",0.07,0,0.04,0,0.06,0,0,0,0,0,0,0,0.01,0,0,0.04,0,0,0.01,0.01,0
"12","Australia-Federal","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Federal/TigerFlathead2019.pdf",0.12,0,0.01,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0.04,0.01,0,0,0,0
"13","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021-sardine-fishery-stock-assessment.pdf",0.08,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0.09,0,0,0.01,0.02,0.03
"14","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/2021 assessment of the status of the West Coast Demersal Scalefis.pdf",0.11,0,0.01,0,0.09,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0,0,0.02,0,0.02
"15","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/FINAL_RL-Stock-Assessment-Report-201718-final-150319-for-email.pdf",0.13,0,0.08,0,0.18,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02
"16","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Fisheries Research Report 319_ Resource Assessment Report for Aus.pdf",0.15,0,0.02,0,0.01,0.02,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0.02,0,0.01
"17","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Harvestable_biomass_of_Katelysia_spp._in_the_South_Australian_Vongole_Fishery.pdf",0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02
"18","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/nz-rock-lobster-2019-20-assessment.pdf",0.21,0,0.01,0,0.07,0.03,0,0,0,0,0,0,0,0.02,0,0,0,0,0.01,0,0.04
"19","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/RL_Stock_Assessment_2017-19_Final_June_2019.pdf",0.12,0,0.01,0,0.08,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0
"20","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/rr2016-0822_torres_strait_rock_lobster_final_report_2019_on_fishery_surveys_cpue_stock_assessment_and_harvest_control_rule_development.pdf",0.14,0,0,0,0.07,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.04,0,0.01
"21","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Snapper_Chrysophrys_auratus_Fishery_Assessment.pdf",0.09,0,0.02,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.03
"22","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/sz-rock-lobster-2019-20-assessment.pdf",0.22,0,0.01,0,0.08,0.04,0,0,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0.04
"23","Australia-Other","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Other/Torres Strait Spanish mackerel stock assessment with data to June 2021.pdf",0.14,0,0.08,0,0,0.04,0,0,0,0,0,0.01,0.01,0,0,0.02,0,0,0.01,0,0.01
"24","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Barramundi Stock Assessment 2019 Final.pdf",0.13,0,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01
"25","Australia-Queensland","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia-Queensland/Black teatfish stock assessment 2021.pdf",0.08,0,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.02
