"ID","Source","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning stock output|sso|mature biomass|spawners","unfished|virgin|initial|equilibrium|unfished equilibrium","recruitment","recruits|recruit|age-0 fish|age-1 fish","catch|total mortality|harvest","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawning per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality rate|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","weight|mass","length composition|length frequency|length observation","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"1","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/blue-warehou-rebuilding-strategy-2022.pdf",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0
"2","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr276.pdf",1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0
"3","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/frr294.pdf",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0
"4","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Gummy-assessment-report-Dec2020.pdf",1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1
"5","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/King threadfin stock assessment 2020.pdf",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"6","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Marine_Scalefish_Fishery_Assessment_Report_2020_-_FINAL_20200424.pdf",1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0
"7","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/puntae_x2006a.pdf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"8","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/stock-status-summary-2021-22-gemfish.pdf",1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
"9","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of black jewfish with data to December 2021.pdf",1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0
"10","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland east coast dusky flathead with data to December 2020.pdf",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
"11","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland red emperor 2022.pdf",1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0
"12","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0
"13","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessments for SESSF- 2019 - Part 2.pdf",1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0
"14","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock Assessments for SESSF 2020–21 - Part 1.pdf",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"Sum",NA,NA,14,14,14,13,13,14,14,13,6,10,9,14,3,14,10,10,11,11,9,3
